Id,CustomerId,Category
1,1,Seasonal
2,1,Bath
3,1,Appliance
4,2,Kitchen
5,3,Bath
6,4,Kitchen
7,5,Storage
8,5,Storage
9,5,Building Materials
10,6,Plumbing
11,6,Building Materials
12,7,Electrical
13,7,Seasonal
14,8,Heating and Cooling
15,8,Plumbing
16,9,Doors and Windows
17,10,Lighting and Fans
18,10,Electrical
19,10,Electrical
20,11,Outdoor
21,12,Kitchen
22,13,Bath
23,14,Heating and Cooling
24,14,Electrical
25,14,Building Materials
26,15,Bath
27,16,Plumbing
28,16,Storage
29,17,Home Maintenance
30,17,Decor
31,17,Seasonal
32,18,Decor
33,18,Doors and Windows
34,18,Doors and Windows
35,19,Doors and Windows
36,19,Doors and Windows
37,19,Outdoor
38,20,Doors and Windows
39,20,Flooring
40,21,Outdoor
41,22,Outdoor
42,23,Flooring
43,24,Flooring
44,24,Plumbing
45,25,Bath
46,26,Doors and Windows
47,26,Heating and Cooling
48,26,Lighting and Fans
49,27,Doors and Windows
50,28,Flooring
51,28,Heating and Cooling
52,29,Seasonal
53,29,Electrical
54,30,Decor
55,31,Plumbing
56,31,Heating and Cooling
57,32,Home Maintenance
58,32,Flooring
59,32,Lumber
60,33,Flooring
61,34,Appliance
62,35,Heating and Cooling
63,36,Kitchen
64,37,Decor
65,37,Lighting and Fans
66,38,Bath
67,38,Plumbing
68,38,Bath
69,39,Heating and Cooling
70,39,Heating and Cooling
71,39,Outdoor
72,40,Heating and Cooling
73,40,Bath
74,40,Appliance
75,41,Appliance
76,42,Doors and Windows
77,42,Home Maintenance
78,42,Seasonal
79,43,Plumbing
80,43,Bath
81,43,Lumber
82,44,Outdoor
83,45,Storage
84,45,Home Maintenance
85,46,Decor
86,46,Kitchen
87,46,Bath
88,47,Lumber
89,47,Appliance
90,47,Kitchen
91,48,Lumber
92,48,Flooring
93,49,Home Maintenance
94,49,Home Maintenance
95,49,Lighting and Fans
96,50,Doors and Windows
97,50,Appliance
98,51,Bath
99,51,Seasonal
100,51,Decor
101,52,Heating and Cooling
102,52,Doors and Windows
103,53,Electrical
104,53,Kitchen
105,54,Seasonal
106,54,Home Maintenance
107,54,Flooring
108,55,Seasonal
109,56,Building Materials
110,56,Doors and Windows
111,57,Home Maintenance
112,57,Electrical
113,58,Flooring
114,59,Outdoor
115,59,Doors and Windows
116,60,Bath
117,60,Outdoor
118,61,Storage
119,61,Flooring
120,62,Storage
121,62,Lumber
122,62,Kitchen
123,63,Kitchen
124,63,Building Materials
125,64,Plumbing
126,65,Appliance
127,65,Flooring
128,65,Bath
129,66,Electrical
130,67,Flooring
131,68,Lighting and Fans
132,68,Decor
133,68,Heating and Cooling
134,69,Outdoor
135,69,Decor
136,70,Decor
137,71,Bath
138,72,Heating and Cooling
139,73,Heating and Cooling
140,73,Home Maintenance
141,73,Flooring
142,74,Lumber
143,75,Home Maintenance
144,76,Bath
145,76,Storage
146,77,Appliance
147,77,Lighting and Fans
148,78,Doors and Windows
149,79,Doors and Windows
150,80,Bath
151,80,Decor
152,80,Decor
153,81,Building Materials
154,81,Bath
155,81,Storage
156,82,Seasonal
157,82,Plumbing
158,82,Electrical
159,83,Building Materials
160,83,Flooring
161,84,Doors and Windows
162,84,Building Materials
163,84,Seasonal
164,85,Heating and Cooling
165,86,Heating and Cooling
166,86,Storage
167,87,Flooring
168,87,Heating and Cooling
169,87,Lumber
170,88,Flooring
171,88,Heating and Cooling
172,89,Electrical
173,90,Appliance
174,91,Home Maintenance
175,91,Seasonal
176,92,Building Materials
177,93,Storage
178,93,Outdoor
179,93,Home Maintenance
180,94,Storage
181,94,Lighting and Fans
182,95,Appliance
183,95,Doors and Windows
184,95,Bath
185,96,Electrical
186,97,Seasonal
187,97,Outdoor
188,97,Heating and Cooling
189,98,Kitchen
190,99,Electrical
191,100,Lumber
192,100,Plumbing
193,100,Decor
194,101,Heating and Cooling
195,101,Bath
196,101,Plumbing
197,102,Flooring
198,102,Flooring
199,103,Lighting and Fans
200,103,Doors and Windows
201,103,Storage
202,104,Heating and Cooling
203,104,Seasonal
204,104,Building Materials
205,105,Seasonal
206,106,Building Materials
207,106,Appliance
208,106,Lumber
209,107,Bath
210,107,Appliance
211,107,Kitchen
